artist_name, tag_name, tag_count_pct
Dino Sabatini,dub techno,0.165094
DJ Koze,minimal,0.215517
DJ Koze,techno,0.135776
DJ Koze,electronic,0.206897
DJ Koze,Kompakt,0.105603
DJ Phono,minimal techno,0.151515
DJ Phono,electronic,0.113636
DJ Phono,electronica,0.113636
DJ Phono,House,0.113636
DJ Shufflemaster,techno,0.359712
DJ Shufflemaster,tresor,0.107914
Dole & Kom,minimal,0.21097
Dole & Kom,techno,0.162447
Dole & Kom,minimal techno,0.162447
Dole & Kom,tech house,0.139241
Dominik Eulberg,minimal,0.280112
Dominik Eulberg,techno,0.148459
Dominik Eulberg,minimal techno,0.173669
Dominik Eulberg,electronic,0.162465
Dominik Eulberg & Gabriel Ananda,minimal,0.204082
Dominik Eulberg & Gabriel Ananda,techno,0.181633
Dominik Eulberg & Gabriel Ananda,minimal techno,0.116327
Don Genaro,minimal,0.222222
Don Genaro,minimal techno,0.111111
Don Genaro,electronic,0.111111
Don Genaro,minimal house,0.166667
Don Genaro,under 2000 listeners,0.111111
Don Genaro,house minimal electronic techno techhouse electro,0.111111
Donato Dozzy,techno,0.150316
Donato Dozzy,minimal techno,0.158228
Donato Dozzy,ambient,0.143987
Donato Dozzy,deep techno,0.150316
Donk Boys,minimal,0.21322
Donk Boys,techno,0.185501
Donk Boys,minimal techno,0.159915
Donk Boys,tech house,0.132196
Donnacha Costello,minimal,0.209205
Donnacha Costello,minimal techno,0.140167
Donnacha Costello,electronic,0.125523
Donnacha Costello,ambient,0.138075
Donor,techno,0.157978
Donor,minimal techno,0.157978
Donor,Progressive metal,0.110585
