id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,availableBikes,stAddress1,city,postalCode,location,pct_available,distance_from_request
397,Fulton St & Clermont Ave,15,27,40.68415748,-73.96922273,In Service,12,Fulton St & Clermont Ave,,,,0.4444444444444444,3.331394799212734
398,Atlantic Ave & Furman St,25,31,40.69165183,-73.9999786,In Service,6,Atlantic Ave & Furman St,,,,0.1935483870967742,1.1113700613353112
399,Lafayette Ave & St James Pl,24,27,40.68851534,-73.9647628,In Service,3,Lafayette Ave & St James Pl,,,,0.1111111111111111,3.410713638972839
400,Pitt St & Stanton St,10,15,40.71926081,-73.98178024,In Service,5,Pitt St & Stanton St,,,,0.3333333333333333,2.565177611548226
401,Allen St & Rivington St,30,42,40.72019576,-73.98997825,In Service,12,Allen St & Rivington St,,,,0.2857142857142857,2.279269631556767
402,Broadway & E 22 St,38,42,40.7403432,-73.98955109,In Service,4,Broadway & E 22 St,,,,0.09523809523809523,4.419606775680715
403,E 2 St & 2 Ave,15,31,40.72502876,-73.99069656,In Service,16,E 2 St & 2 Ave,,,,0.5161290322580645,2.7551742312127505
404,9 Ave & W 14 St,8,39,40.7405826,-74.00550867,In Service,31,9 Ave & W 14 St,,,,0.7948717948717948,4.346297148887512
405,Washington St & Gansevoort St,17,40,40.739323,-74.008119,In Service,23,Washington St & Gansevoort St,,,,0.575,4.230619937581897
406,Hicks St & Montague St,22,34,40.69512845,-73.99595065,In Service,12,Hicks St & Montague St,,,,0.35294117647058826,0.8520911451168725
407,Henry St & Poplar St,27,43,40.700469,-73.991454,In Service,16,Henry St & Poplar St,,,,0.37209302325581395,0.8458636952975809
408,Market St & Cherry St,19,23,40.71076228,-73.99400398,In Service,4,Market St & Cherry St,,,,0.17391304347826086,1.1933241001883654
409,DeKalb Ave & Skillman St,13,19,40.6906495,-73.95643107,In Service,6,DeKalb Ave & Skillman St,,,,0.3157894736842105,3.9779311034082867
410,Suffolk St & Stanton St,11,35,40.72066442,-73.98517977,In Service,24,Suffolk St & Stanton St,,,,0.6857142857142857,2.5205300501019505
411,E 6 St & Avenue D,19,23,40.72228087,-73.97668709,In Service,4,E 6 St & Avenue D,,,,0.17391304347826086,3.100174603567157
412,Forsyth St & Canal St,16,29,40.7158155,-73.99422366,In Service,13,Forsyth St & Canal St,,,,0.4482758620689655,1.6913390926179657
414,Pearl St & Anchorage Pl,17,24,40.70281858,-73.98765762,In Service,7,Pearl St & Anchorage Pl,,,,0.2916666666666667,1.1643058026796995
